driveruuid,week_date,Km
0abee682-7cb7-4a49-97e0-a112d05f2dac,11/15/2021,684.2
77c481f3-ee2e-4b2f-ac12-ec2097f1abb5,11/15/2021,67.96
07422c3d-4a75-4e11-b477-e5e71ebccb2b,11/15/2021,868.2
c2f9941e-737e-428b-b2a1-ea034759bb0f,11/15/2021,483.03
07e356ec-3be2-48f4-8bd7-443259321469,11/15/2021,814.39
1922032d-26ad-469d-8747-75dc05d5c491,11/15/2021,576.16
39c5f6d9-7c79-415c-93d9-0ebfc8e44333,11/15/2021,701.24
62588413-4dad-4b90-93e4-819f63bdae67,11/15/2021,1016.46
828ab3a8-b5b4-4465-90d9-f1c1eaa4b08b,11/15/2021,934.92
74b9cbf9-0904-41a9-a220-1f66f884ed7c,11/15/2021,87.8
7894e94d-6a17-4814-8064-c5e779834dca,11/15/2021,387.17
64923075-5efb-4956-9b69-3b888ad7678e,11/15/2021,348.67
cc955133-9e3a-4959-bc22-4eebe4236412,11/15/2021,1158.54
1628d416-3002-4cec-8f38-1453b708e531,11/15/2021,863.93
ab0c2d68-737b-4b39-a2bd-a57068184096,11/15/2021,764.65
39a93eed-1532-4233-bfcd-a5bb02e1f92c,11/15/2021,621.08
0cae36d8-3521-4112-bbeb-a937995f220c,11/15/2021,557.48
ba7e93c8-b2f8-4877-b5a9-3f23a39533e2,11/15/2021,406.66
fdf020a0-2255-45a3-bf8f-690790aa779a,11/15/2021,908.61
aa0c2e75-7b43-49a2-9249-b931436539b2,11/15/2021,596.43
37e4b055-d577-4400-8fd1-274f30d71edc,11/15/2021,257.72
f635fe03-ca19-46c2-be6a-e7d0ed94ba26,11/15/2021,525.53
405d3aa0-9a4f-4078-9897-1aeb99a83d76,11/15/2021,123.87
40674bfb-a06f-4658-8834-73d566ed96f1,11/15/2021,96.54
99e0998d-8450-4e08-a69a-91fdbfb2881c,11/15/2021,353.28
ecf58a3a-6150-4f48-9e24-185c02b00c0f,11/15/2021,614.59
42d1861f-7e1c-4d83-b912-84a7351870c4,11/15/2021,442.33
622b18b7-3b97-43fa-adbd-1fc73ed9573e,11/15/2021,682.42
5c22280d-5979-4ca7-99a1-86b5dd3f985c,11/15/2021,766.82
f68b9f60-5b50-49d1-9617-a081765fd6ac,11/15/2021,750.89
5070b315-eba0-4478-bd47-2fc1318bec56,11/15/2021,882.27
9dc18c52-52d1-492e-a951-961da5bd2c55,11/15/2021,1208.91
0c09298b-4156-483c-b8ca-f7bff13693d3,11/15/2021,860.56
fcd39e00-30e7-4893-9a26-907e29d33f22,11/15/2021,810.16
3e54b77a-edb6-4ef5-bc18-3a777cdc4159,11/15/2021,571.45
62f06879-9a1a-435b-a915-c1dd2c5ebfd5,11/15/2021,605.96
5dd17596-5fbf-45e0-83fc-03051c652f3e,11/15/2021,867.99
2a85ec6d-8a56-46b5-93c4-8b93076a24f7,11/15/2021,540.16
e351c89a-c080-4e55-a68f-967d30651a76,11/15/2021,515.98
60e24218-a9cd-4344-a79e-ddbc78345e34,11/15/2021,630.46
d5b92e0a-b71d-4fe4-9590-c784e402246a,11/15/2021,267.73
d1326348-cea6-4e6b-bf82-b536959797ad,11/15/2021,814.29
208e8401-5bae-45ec-aa3d-4f27c9d708af,11/15/2021,178.32
4e174a23-5fcb-46f7-ad15-1d726129a541,11/15/2021,788.29
c4328d0c-7df6-458b-9ee3-c355a0489473,11/15/2021,424.22
fed9343c-8330-415e-ac41-9882cfa6d0e1,11/15/2021,523.59
64b1af9b-1e55-470d-85db-341ad457c1c9,11/15/2021,625.45
ea0274de-ed88-4718-b64e-bb0342eb7574,11/15/2021,238.77
1e2a43b1-10c7-4530-8582-9004904da430,11/15/2021,219.17
a20cd138-ffad-455d-a834-a6344531b3dc,11/15/2021,370.7
e4849005-bd6f-4c44-bfb5-09c0a70c672c,11/15/2021,768.59
0c219f52-1435-4b21-994a-6a3bd25d974e,11/15/2021,428.89
2285677b-2537-479b-8a59-c28382950172,11/15/2021,305.04
38672f8a-80f5-4d99-8bc2-687bf3bbbc6c,11/15/2021,287.27
7e770f9d-e3e7-4cf7-9790-80948d1f1ca7,11/15/2021,800.47
071ca342-a7f2-4ce9-84bc-11ee161d5705,11/15/2021,777.22
9e7cb1a7-b0ef-46b7-9358-0e08a57133ad,11/15/2021,843.02
0d75521b-a24f-4c4e-be7b-df0bb30a9dff,11/15/2021,352.07
c0f9c90a-44fa-4249-a8a3-7629576c1d0e,11/15/2021,669.07
4e7ce887-6332-4c87-883b-2704ca6279ee,11/15/2021,320.43
23767254-acb5-4577-b91d-899f148305b7,11/15/2021,814.87
7cf1aede-04ed-4eb1-9f71-ba1fd95b5dfd,11/15/2021,642.65
67708ccc-f79e-4fa4-9e07-bf70ef8f59e8,11/15/2021,884.44
a98816f6-2b91-4712-88f8-6a59f1fcb8f7,11/15/2021,662.2
77e1eae2-e66e-4aaa-8fc5-6f0c0b02489e,11/15/2021,394.41
73e127c0-dd7f-4637-8126-ae278fade6cf,11/15/2021,140.35
34e8476d-0af3-4470-ac87-9889108f6e8f,11/15/2021,463.19
e989d85d-3796-4958-97d5-a5e1bbbf5b4e,11/15/2021,665.76
067be17a-38d3-4a03-89f6-8755902ded15,11/15/2021,891.98
8b4a852b-a20e-4c9a-95cd-fe4a532033a1,11/15/2021,641.36
ef28088d-577c-444a-9198-53d9223ec834,11/15/2021,373.49
f9488aad-3b63-48bb-b65a-6f821ffd7fb6,11/15/2021,977.25
18c8be73-4d81-4e14-8494-1250fd058c63,11/15/2021,14.68
be275976-4a8e-40bf-8213-2c587daf70f1,11/15/2021,634.17
e9bb15c1-dbeb-45e4-b090-0136d3b34404,11/15/2021,253.53
27b43006-eaa1-4cab-9d4d-7d964ff20c01,11/15/2021,424.42
1be5bb04-5d57-48a3-84f9-276289d054d2,11/15/2021,428.31
71ed57b7-5990-4be1-9e7c-86c2d579dba0,11/15/2021,697.47
3ad75905-9ba9-4323-9e93-41f23e6234ee,11/15/2021,460.07
6571bd8c-2934-48ea-970a-f5a729e244d6,11/15/2021,682
fc566d15-8f50-45e5-b053-dbacc66156b8,11/15/2021,524.81
315b1906-7c4a-4c88-ae96-5078475a0d1a,11/15/2021,518.89
6fbd88da-fc22-4f26-b7ea-79e70a7b7f27,11/15/2021,1206.06
72726042-8296-4d3e-8e92-b3af8796cadf,11/15/2021,860.94
f2c89862-5ac2-46ed-887f-e84b0105d3a4,11/15/2021,978.89
10331f84-271a-4d04-87db-c1f06705b140,11/15/2021,402.05
f8acbfc6-dbf5-42ec-9ae2-64c90874d815,11/15/2021,327.65
0d0997c0-e952-46c3-af4d-0a38987ee076,11/15/2021,323.69
642190f4-6e94-464d-b722-af7053996efe,11/15/2021,575.25
1875f7cb-c20f-4032-8deb-c49d1e6cea2e,11/15/2021,624.09
2fd50bf2-e158-4ea6-a6d4-12131d322374,11/15/2021,605.39
5712a5e8-5ea7-4eb1-adc2-2b20189635ed,11/15/2021,735.37
ebe841ff-c9dd-4477-bdea-cba1ecf27f36,11/15/2021,536.4
b09c4b8d-7106-49e5-ae37-a6df27cb0860,11/15/2021,760.03
ad704b7b-12c7-4f01-9610-3e6e298f3452,11/15/2021,687.75
fc27465a-f75d-4e44-ac84-bd12d2e582d3,11/15/2021,51.31
2381265f-c6b6-4eed-b612-05be3016ce84,11/15/2021,1040
fefbb0ca-d5a4-46b0-97ad-855f3a8422bf,11/15/2021,1067.03
7043246b-2b90-4673-ba40-920dc13eb064,11/15/2021,664.64
aa05f6a1-8660-4113-a6c1-9e9bf82093c4,11/15/2021,482.89
f461930b-f3b0-42a2-989d-21551dd730ad,11/15/2021,700.34
ae661bd4-2b78-4ff4-ae05-4e4f7deac1a5,11/15/2021,495.78
ca28e5e6-0944-4cac-9e92-1741421e0165,11/15/2021,889.17
e568f1b6-230d-4f02-9a48-b3b1f6abe06c,11/15/2021,699.7
54d026c7-a5be-4b7c-b4ff-c3a4c204edd5,11/15/2021,9.4
18306656-762e-484f-8fb9-f363082beee5,11/22/2021,414.69
067be17a-38d3-4a03-89f6-8755902ded15,11/22/2021,1150.67
72726042-8296-4d3e-8e92-b3af8796cadf,11/22/2021,792.54
71ed57b7-5990-4be1-9e7c-86c2d579dba0,11/22/2021,697.12
795d9d2a-a0fc-414d-b619-f17396891511,11/22/2021,344.9
be042639-a971-4776-95f4-fc9f30037c10,11/22/2021,767.11
2ec463b6-2ce4-4938-b498-c41c7a7bdc1b,11/22/2021,593.81
4ecf9a1e-c057-42ad-ba2f-7c7a4899b97f,11/22/2021,288.33
1922032d-26ad-469d-8747-75dc05d5c491,11/22/2021,634.38
62588413-4dad-4b90-93e4-819f63bdae67,11/22/2021,996.46
64923075-5efb-4956-9b69-3b888ad7678e,11/22/2021,316.84
b3a10083-8fb4-4c47-8bf7-b3a4404cbcdd,11/22/2021,966.9
7484ab64-c7ba-48a9-8086-220bcf65dc4c,11/22/2021,69.3
07422c3d-4a75-4e11-b477-e5e71ebccb2b,11/22/2021,454.8
6fbd88da-fc22-4f26-b7ea-79e70a7b7f27,11/22/2021,953.39
aa05f6a1-8660-4113-a6c1-9e9bf82093c4,11/22/2021,493.32
64d16747-31a1-4ba2-9e92-0107b7d6bdcd,11/22/2021,488.51
39c5f6d9-7c79-415c-93d9-0ebfc8e44333,11/22/2021,804.71
a1446a7d-2373-4286-b148-572dbc29cc4b,11/22/2021,280.55
aa0c2e75-7b43-49a2-9249-b931436539b2,11/22/2021,559.9
07e356ec-3be2-48f4-8bd7-443259321469,11/22/2021,645.07
f635fe03-ca19-46c2-be6a-e7d0ed94ba26,11/22/2021,622.45
ba7e93c8-b2f8-4877-b5a9-3f23a39533e2,11/22/2021,458.53
ecf58a3a-6150-4f48-9e24-185c02b00c0f,11/22/2021,683.31
08f7a590-fed1-4df5-9509-b951bce99408,11/22/2021,332.6
fcd39e00-30e7-4893-9a26-907e29d33f22,11/22/2021,651.93
642190f4-6e94-464d-b722-af7053996efe,11/22/2021,412.41
dd8bb6bd-e554-4aba-8b43-c80b1a54ba75,11/22/2021,511.47
2fd50bf2-e158-4ea6-a6d4-12131d322374,11/22/2021,406.51
60e24218-a9cd-4344-a79e-ddbc78345e34,11/22/2021,668.57
ebe841ff-c9dd-4477-bdea-cba1ecf27f36,11/22/2021,614.96
2f39e80c-1d86-4bd3-a9ac-ea21e1f35dbc,11/22/2021,729.83
0cae36d8-3521-4112-bbeb-a937995f220c,11/22/2021,670.92
4e174a23-5fcb-46f7-ad15-1d726129a541,11/22/2021,701.11
37e4b055-d577-4400-8fd1-274f30d71edc,11/22/2021,504.37
1c91b39f-dd34-4a88-90a2-88c75dd4c286,11/22/2021,840.01
9dc18c52-52d1-492e-a951-961da5bd2c55,11/22/2021,1062.52
52fb4a5c-dd17-44af-b100-6e184f842f00,11/22/2021,935.05
d78e93e4-33a8-4026-9f1e-cf8af8d94331,11/22/2021,366.28
391efe5a-fabf-43bd-a5e7-6f7ace587bd2,11/22/2021,752.89
62f06879-9a1a-435b-a915-c1dd2c5ebfd5,11/22/2021,757.76
38672f8a-80f5-4d99-8bc2-687bf3bbbc6c,11/22/2021,448.8
5c22280d-5979-4ca7-99a1-86b5dd3f985c,11/22/2021,861.78
10374e3b-1a64-4f83-86f6-56a0707cfb4d,11/22/2021,626.1
4378e378-898e-43fd-a1c8-0f22d59621e8,11/22/2021,357.05
0d75521b-a24f-4c4e-be7b-df0bb30a9dff,11/22/2021,330.22
0bd4c66a-edb4-4b46-b789-903fec02357b,11/22/2021,627.19
e989d85d-3796-4958-97d5-a5e1bbbf5b4e,11/22/2021,846.45
0c09298b-4156-483c-b8ca-f7bff13693d3,11/22/2021,745.58
801589ab-55c1-48e4-962d-2e6478d895a3,11/22/2021,273.16
5dd17596-5fbf-45e0-83fc-03051c652f3e,11/22/2021,878.58
03e58d6e-0265-4b6f-9b81-2f272a8b2169,11/22/2021,899.55
e351c89a-c080-4e55-a68f-967d30651a76,11/22/2021,358.65
dd4c536a-7a0f-47d8-a2cd-8bac1938af4a,11/22/2021,772.41
c4328d0c-7df6-458b-9ee3-c355a0489473,11/22/2021,902.04
77e1eae2-e66e-4aaa-8fc5-6f0c0b02489e,11/22/2021,430.16
64b1af9b-1e55-470d-85db-341ad457c1c9,11/22/2021,332.7
27b43006-eaa1-4cab-9d4d-7d964ff20c01,11/22/2021,536.39
2285677b-2537-479b-8a59-c28382950172,11/22/2021,527.87
92679160-f742-4424-a6df-b6424ee49c81,11/22/2021,901.03
73e127c0-dd7f-4637-8126-ae278fade6cf,11/22/2021,281.23
4f6a3fd2-2312-467b-9f34-c53d07e19cf5,11/22/2021,162.25
c34b2754-b2cb-425b-a60d-de89fa45cce3,11/22/2021,414.76
05b21f09-82bd-4700-b129-2924d9caa0c8,11/22/2021,1042.86
230c214d-5f88-44dc-92b6-f9622ef1bce4,11/22/2021,562.19
684e978b-efc4-4507-a42b-12f8d5b1d842,11/22/2021,1013.43
7ea0bde7-40e4-4e95-b783-1e2baf776393,11/22/2021,620.8
a4812789-4bcb-43fb-ae12-36d5830c721a,11/22/2021,308.1
7951e2bb-05d4-468b-a745-4b4f87e548b3,11/22/2021,598.37
cf780027-663b-4d09-b52a-96014af1d864,11/22/2021,617.69
b5d818d9-f75f-48d5-8bb2-092e8ced6624,11/22/2021,660.73
2ecba62e-b89d-43bd-a5e9-5fb29d7a28f0,11/22/2021,910.73
ef28088d-577c-444a-9198-53d9223ec834,11/22/2021,263.86
c2f9941e-737e-428b-b2a1-ea034759bb0f,11/22/2021,546.96
315b1906-7c4a-4c88-ae96-5078475a0d1a,11/22/2021,618.5
5712a5e8-5ea7-4eb1-adc2-2b20189635ed,11/22/2021,424.18
603bd454-a283-4860-b661-4e3ef464b0d2,11/22/2021,597.33
fc566d15-8f50-45e5-b053-dbacc66156b8,11/22/2021,134.01
10331f84-271a-4d04-87db-c1f06705b140,11/22/2021,1112.71
2381265f-c6b6-4eed-b612-05be3016ce84,11/22/2021,802.21
64f548b6-2c66-4147-8968-03edf1b70730,11/22/2021,197.05
f2c89862-5ac2-46ed-887f-e84b0105d3a4,11/22/2021,924.7
e9bb15c1-dbeb-45e4-b090-0136d3b34404,11/22/2021,245.26
39a93eed-1532-4233-bfcd-a5bb02e1f92c,11/22/2021,106.28
0d0997c0-e952-46c3-af4d-0a38987ee076,11/22/2021,449.43
f461930b-f3b0-42a2-989d-21551dd730ad,11/22/2021,611.54
1875f7cb-c20f-4032-8deb-c49d1e6cea2e,11/22/2021,719.94
f8acbfc6-dbf5-42ec-9ae2-64c90874d815,11/22/2021,200.41
1be5bb04-5d57-48a3-84f9-276289d054d2,11/22/2021,380.17
7894e94d-6a17-4814-8064-c5e779834dca,11/22/2021,152.38
b09c4b8d-7106-49e5-ae37-a6df27cb0860,11/22/2021,565.21
ab0c2d68-737b-4b39-a2bd-a57068184096,11/22/2021,663.23
74b9cbf9-0904-41a9-a220-1f66f884ed7c,11/22/2021,310.68
e568f1b6-230d-4f02-9a48-b3b1f6abe06c,11/22/2021,895.34
fc27465a-f75d-4e44-ac84-bd12d2e582d3,11/22/2021,383.3
622b18b7-3b97-43fa-adbd-1fc73ed9573e,11/22/2021,381.12
1628d416-3002-4cec-8f38-1453b708e531,11/22/2021,822.6
7e574e04-e42e-4b40-b9bc-e4fc99f92822,11/22/2021,260.96
fefbb0ca-d5a4-46b0-97ad-855f3a8422bf,11/22/2021,1150.85
d5b92e0a-b71d-4fe4-9590-c784e402246a,11/22/2021,178.16
0abee682-7cb7-4a49-97e0-a112d05f2dac,11/22/2021,69.3
8b58fe38-1968-41e3-ae48-581e0bf98a2b,11/22/2021,396.17
7043246b-2b90-4673-ba40-920dc13eb064,11/22/2021,575.46
071ca342-a7f2-4ce9-84bc-11ee161d5705,11/22/2021,471.15
ae661bd4-2b78-4ff4-ae05-4e4f7deac1a5,11/22/2021,431.35
7cf1aede-04ed-4eb1-9f71-ba1fd95b5dfd,11/22/2021,87.15
cc955133-9e3a-4959-bc22-4eebe4236412,11/22/2021,941.24
7e770f9d-e3e7-4cf7-9790-80948d1f1ca7,11/22/2021,815.29
f0b2c986-33c9-421d-b6af-58992d1e96fe,11/22/2021,262.28
9e7cb1a7-b0ef-46b7-9358-0e08a57133ad,11/22/2021,781.67
ca28e5e6-0944-4cac-9e92-1741421e0165,11/22/2021,949.68
d0233aeb-ef6b-4576-a686-6d268a3e1edf,11/22/2021,170.14
ad704b7b-12c7-4f01-9610-3e6e298f3452,11/22/2021,759.6
8b4a852b-a20e-4c9a-95cd-fe4a532033a1,11/22/2021,682.58
fdf020a0-2255-45a3-bf8f-690790aa779a,11/22/2021,175.48
f9488aad-3b63-48bb-b65a-6f821ffd7fb6,11/22/2021,453.34
405d3aa0-9a4f-4078-9897-1aeb99a83d76,11/22/2021,398.02
34e8476d-0af3-4470-ac87-9889108f6e8f,11/22/2021,766.23
99e0998d-8450-4e08-a69a-91fdbfb2881c,11/22/2021,439.29
f68b9f60-5b50-49d1-9617-a081765fd6ac,11/22/2021,712.81
42d1861f-7e1c-4d83-b912-84a7351870c4,11/22/2021,405.59
2a85ec6d-8a56-46b5-93c4-8b93076a24f7,11/22/2021,628.78
cefa509f-c3db-4a0a-a591-436cda98f832,11/22/2021,776.12
5070b315-eba0-4478-bd47-2fc1318bec56,11/22/2021,1045.89
d1326348-cea6-4e6b-bf82-b536959797ad,11/22/2021,695.41
3e54b77a-edb6-4ef5-bc18-3a777cdc4159,11/22/2021,606.8
b507b4f1-435b-4096-903c-8a8b8ffcdcaf,11/22/2021,10.54
fed9343c-8330-415e-ac41-9882cfa6d0e1,11/22/2021,86.48
a20cd138-ffad-455d-a834-a6344531b3dc,11/22/2021,312.66
208e8401-5bae-45ec-aa3d-4f27c9d708af,11/22/2021,393.2
0c219f52-1435-4b21-994a-6a3bd25d974e,11/22/2021,273.74
33e193cf-2ae5-4763-a586-7d90d15746ca,11/22/2021,608.9
1e2a43b1-10c7-4530-8582-9004904da430,11/22/2021,719.16
e4849005-bd6f-4c44-bfb5-09c0a70c672c,11/22/2021,747.46
4e7ce887-6332-4c87-883b-2704ca6279ee,11/22/2021,365.73
a98816f6-2b91-4712-88f8-6a59f1fcb8f7,11/22/2021,602.15
c0f9c90a-44fa-4249-a8a3-7629576c1d0e,11/22/2021,632.6
38892d97-929e-419b-8e77-28ead1e48ba9,11/22/2021,635.97
23767254-acb5-4577-b91d-899f148305b7,11/22/2021,680.92
67708ccc-f79e-4fa4-9e07-bf70ef8f59e8,11/22/2021,998.21
be275976-4a8e-40bf-8213-2c587daf70f1,11/22/2021,317.44
99e0998d-8450-4e08-a69a-91fdbfb2881c,11/29/2021,499.32
37e4b055-d577-4400-8fd1-274f30d71edc,11/29/2021,366.12
f68b9f60-5b50-49d1-9617-a081765fd6ac,11/29/2021,626.07
d78e93e4-33a8-4026-9f1e-cf8af8d94331,11/29/2021,152.51
42d1861f-7e1c-4d83-b912-84a7351870c4,11/29/2021,191.23
62f06879-9a1a-435b-a915-c1dd2c5ebfd5,11/29/2021,582.59
9dc18c52-52d1-492e-a951-961da5bd2c55,11/29/2021,905.25
5c22280d-5979-4ca7-99a1-86b5dd3f985c,11/29/2021,717.07
2a85ec6d-8a56-46b5-93c4-8b93076a24f7,11/29/2021,817.29
2f39e80c-1d86-4bd3-a9ac-ea21e1f35dbc,11/29/2021,822.28
cefa509f-c3db-4a0a-a591-436cda98f832,11/29/2021,807.53
4378e378-898e-43fd-a1c8-0f22d59621e8,11/29/2021,395.93
5070b315-eba0-4478-bd47-2fc1318bec56,11/29/2021,1165.66
d1326348-cea6-4e6b-bf82-b536959797ad,11/29/2021,412.25
0c09298b-4156-483c-b8ca-f7bff13693d3,11/29/2021,666.88
0bd4c66a-edb4-4b46-b789-903fec02357b,11/29/2021,622.32
3e54b77a-edb6-4ef5-bc18-3a777cdc4159,11/29/2021,556.88
5dd17596-5fbf-45e0-83fc-03051c652f3e,11/29/2021,1074.44
361c6caa-dc5c-44da-aaa2-5c029103a71d,11/29/2021,384.29
33e193cf-2ae5-4763-a586-7d90d15746ca,11/29/2021,929.32
fed9343c-8330-415e-ac41-9882cfa6d0e1,11/29/2021,658.35
c4328d0c-7df6-458b-9ee3-c355a0489473,11/29/2021,883.3
e351c89a-c080-4e55-a68f-967d30651a76,11/29/2021,512.13
64b1af9b-1e55-470d-85db-341ad457c1c9,11/29/2021,425.04
a20cd138-ffad-455d-a834-a6344531b3dc,11/29/2021,283.23
73e127c0-dd7f-4637-8126-ae278fade6cf,11/29/2021,652.91
208e8401-5bae-45ec-aa3d-4f27c9d708af,11/29/2021,567.48
7ea0bde7-40e4-4e95-b783-1e2baf776393,11/29/2021,622.82
0c219f52-1435-4b21-994a-6a3bd25d974e,11/29/2021,354.64
92679160-f742-4424-a6df-b6424ee49c81,11/29/2021,786.81
7e770f9d-e3e7-4cf7-9790-80948d1f1ca7,11/29/2021,818
b5d818d9-f75f-48d5-8bb2-092e8ced6624,11/29/2021,803.59
e989d85d-3796-4958-97d5-a5e1bbbf5b4e,11/29/2021,598.96
71ed57b7-5990-4be1-9e7c-86c2d579dba0,11/29/2021,661.3
c0f9c90a-44fa-4249-a8a3-7629576c1d0e,11/29/2021,757.54
603bd454-a283-4860-b661-4e3ef464b0d2,11/29/2021,955.41
23767254-acb5-4577-b91d-899f148305b7,11/29/2021,490
e9bb15c1-dbeb-45e4-b090-0136d3b34404,11/29/2021,0
8b4a852b-a20e-4c9a-95cd-fe4a532033a1,11/29/2021,677.2
795d9d2a-a0fc-414d-b619-f17396891511,11/29/2021,69.22
67708ccc-f79e-4fa4-9e07-bf70ef8f59e8,11/29/2021,763.25
1875f7cb-c20f-4032-8deb-c49d1e6cea2e,11/29/2021,440.68
7951e2bb-05d4-468b-a745-4b4f87e548b3,11/29/2021,711.03
b3a10083-8fb4-4c47-8bf7-b3a4404cbcdd,11/29/2021,120.94
ef28088d-577c-444a-9198-53d9223ec834,11/29/2021,303.09
81b9d9dd-01e6-4902-accc-3cf982584584,11/29/2021,345.2
18c8be73-4d81-4e14-8494-1250fd058c63,11/29/2021,22.7
ba7e93c8-b2f8-4877-b5a9-3f23a39533e2,11/29/2021,499.29
315b1906-7c4a-4c88-ae96-5078475a0d1a,11/29/2021,645.07
08f7a590-fed1-4df5-9509-b951bce99408,11/29/2021,876.65
10331f84-271a-4d04-87db-c1f06705b140,11/29/2021,1266.99
642190f4-6e94-464d-b722-af7053996efe,11/29/2021,872.81
64f548b6-2c66-4147-8968-03edf1b70730,11/29/2021,252.37
ebe841ff-c9dd-4477-bdea-cba1ecf27f36,11/29/2021,206.95
1be5bb04-5d57-48a3-84f9-276289d054d2,11/29/2021,569.59
ad704b7b-12c7-4f01-9610-3e6e298f3452,11/29/2021,731.88
74b9cbf9-0904-41a9-a220-1f66f884ed7c,11/29/2021,299.19
0cae36d8-3521-4112-bbeb-a937995f220c,11/29/2021,304.63
6fbd88da-fc22-4f26-b7ea-79e70a7b7f27,11/29/2021,758.13
622b18b7-3b97-43fa-adbd-1fc73ed9573e,11/29/2021,940.28
1628d416-3002-4cec-8f38-1453b708e531,11/29/2021,846.97
7ecefda1-38e8-4dfc-bd0b-26086d109c85,11/29/2021,17.88
7043246b-2b90-4673-ba40-920dc13eb064,11/29/2021,722.68
fcd39e00-30e7-4893-9a26-907e29d33f22,11/29/2021,841.17
ae661bd4-2b78-4ff4-ae05-4e4f7deac1a5,11/29/2021,93
7e574e04-e42e-4b40-b9bc-e4fc99f92822,11/29/2021,2.35
ca28e5e6-0944-4cac-9e92-1741421e0165,11/29/2021,989.74
4e174a23-5fcb-46f7-ad15-1d726129a541,11/29/2021,1085.44
405d3aa0-9a4f-4078-9897-1aeb99a83d76,11/29/2021,130.48
d5b92e0a-b71d-4fe4-9590-c784e402246a,11/29/2021,278.2
dd8bb6bd-e554-4aba-8b43-c80b1a54ba75,11/29/2021,87.91
38672f8a-80f5-4d99-8bc2-687bf3bbbc6c,11/29/2021,114.08
60e24218-a9cd-4344-a79e-ddbc78345e34,11/29/2021,1194.88
8b58fe38-1968-41e3-ae48-581e0bf98a2b,11/29/2021,16.81
1c91b39f-dd34-4a88-90a2-88c75dd4c286,11/29/2021,794.59
1e2a43b1-10c7-4530-8582-9004904da430,11/29/2021,700.94
52fb4a5c-dd17-44af-b100-6e184f842f00,11/29/2021,686.71
e4849005-bd6f-4c44-bfb5-09c0a70c672c,11/29/2021,850.53
391efe5a-fabf-43bd-a5e7-6f7ace587bd2,11/29/2021,594.13
4e7ce887-6332-4c87-883b-2704ca6279ee,11/29/2021,374.14
071ca342-a7f2-4ce9-84bc-11ee161d5705,11/29/2021,533.32
